161  	ещ	338849	247	
162  	ею	73602	423	
163  	ея	120285	372	
164  	жа	530793	197	
165  	жб	30141	516	
166  	жг	5324	673	
167  	жд	508324	206	
168  	же	1821313	73	
169  	жё	5297	675	
170  	жж	5239	676	
171  	жи	808473	147	
172  	жк	76173	421	
173  	жл	5842	666	
174  	жм	5597	668	
175  	жн	594967	184	
176  	жо	36050	500	
177  	жр	5416	671	
178  	жс	16465	573	
179  	жу	126374	364	
180  	жч	23405	537	
181  	жь	17670	566	
182  	за	2670888	47	
183  	зб	87851	403	
184  	зв	536986	194	
185  	зг	132986	356	
186  	зд	481168	214	
187  	зе	249775	283	
188  	зж	40284	488	
189  	зз	8464	632	
190  	зи	382699	237	
191  	зк	84581	405	
192  	зл	143545	346	
193  	зм	286199	267	
194  	зн	922793	129	
195  	зо	464937	216	
196  	зр	209408	309	
197  	зс	14707	584	
198  	зт	6691	653	
199  	зу	263040	277	
200  	зц	8344	635	
201  	зч	8985	625	
202  	зъ	11159	606	
203  	зы	294875	263	
204  	зь	57888	454	
205  	зю	4980	680	
206  	зя	134750	354	
207  	иа	279618	270	
208  	иб	260858	279	
209  	ив	1340779	92	
210  	иг	359433	244	
211  	ид	780927	152	
212  	ие	1610394	80	
213  	иж	177955	330	
214  	из	1494881	84	
215  	ии	911508	133	
216  	ий	972401	125	
217  	ик	1437934	89	
218  	ил	2335238	56	
219  	им	1749666	76	
220  	ин	2384696	53	
221  	ио	377613	238	
222  	ип	176682	331	
223  	ир	871113	138	
224  	ис	1862616	71	
225  	ит	2612768	48	
226  	иу	19040	560	
227  	иф	81266	409	
228  	их	1142007	102	
229  	иц	494179	211	
230  	ич	1060816	112	
231  	иш	287906	266	
232  	ищ	102239	389	
233  	иэ	4962	681	
234  	ию	321922	256	
235  	ия	1447234	88	
236  	йб	5967	665	
237  	йг	4367	692	
238  	йд	77314	415	
239  	йе	8200	638	
240  	йз	6654	655	
241  	йк	68883	431	
242  	йл	21658	546	
243  	йм	26611	526	
244  	йн	211418	308	
245  	йо	36841	495	
246  	йр	4654	686	
247  	йс	387428	234	
248  	йт	127187	363	
249  	йф	5069	678	
250  	йц	25963	529	
251  	йч	91116	400	
252  	йш	60713	448	
253  	ка	3753269	19	
254  	кв	184716	324	
255  	кг	9016	624	
256  	кд	6015	663	
257  	ке	407683	231	
258  	кж	52258	462	
259  	кз	19700	556	
260  	ки	2061205	62	
261  	кк	21598	547	
262  	кл	446340	222	
263  	км	10423	611	
264  	кн	188660	320	
265  	ко	5117773	8	
266  	кп	9747	617	
267  	кр	943075	128	
268  	кс	269549	272	
269  	кт	725392	159	
270  	ку	1033571	118	
271  	кц	113108	380	
272  	кш	8511	631	
273  	ла	2960226	34	
274  	лб	16436	574	
275  	лв	6960	647	
276  	лг	83676	406	
277  	лд	31814	510	
278  	ле	2925023	36	
279  	лё	14266	586	
280  	лж	158349	338	
281  	лз	11806	601	
282  	ли	3866502	18	
283  	лк	199563	314	
284  	лл	186323	321	
285  	лм	12682	595	
286  	лн	239271	291	
287  	ло	2912925	37	
288  	лп	16383	575	
289  	лр	6775	652	
290  	лс	513645	205	
291  	лт	44343	481	
292  	лу	729318	158	
293  	лх	8211	637	
294  	лч	47264	472	
295  	лш	4801	684	
296  	лы	319477	257	
297  	ль	2819650	41	
298  	лю	598858	183	
299  	ля	1073751	110	
300  	ма	1765557	75	
301  	мб	48137	469	
302  	мв	17584	567	
303  	мг	16757	571	
304  	ме	2346193	54	
305  	ми	1914722	67	
306  	мк	73147	424	
307  	мл	128034	361	
308  	мм	119473	373	
309  	мн	705437	161	
310  	мо	2122362	61	
311  	мп	189670	319	
312  	мр	22321	542	
313  	мс	97066	393	
314  	мт	4402	691	
315  	му	1051209	113	
316  	мф	11330	605	
317  	мц	17255	570	
318  	мч	17269	569	
319  	мы	724184	160	
320  	мь	59128	450	
321  	мэ	11015	608	
322  	мя	243924	287	
323  	на	5928622	4	
324  	нб	9457	620	
325  	нв	39510	492	
326  	нг	121766	370	
327  	нд	336677	249	
328  	не	4805426	11	
329  	нё	8525	630	
330  	нж	15854	578	
331  	нз	29051	519	
332  	ни	5157969	7	
333  	нк	374477	241	
334  	нн	1897247	68	
335  	но	6436135	3	
336  	нп	6087	662	
337  	нр	39895	490	
338  	нс	521114	200	
339  	нт	806817	148	
340  	ну	1156929	100	
341  	нф	79962	413	
342  	нх	7691	644	
343  	нц	273297	271	
344  	нч	99327	392	
345  	нш	9961	615	
346  	нщ	55262	459	
347  	ны	2714057	45	
348  	нь	537143	193	
349  	нэ	4347	694	
350  	ню	80682	411	
351  	ня	768863	154	
352  	оа	22883	538	
353  	об	2221408	58	
354  	ов	4901938	10	
355  	ог	2773312	43	
356  	од	3090910	32	
357  	ое	1160543	99	
358  	оё	6121	660	
359  	ож	1082000	107	
360  	оз	840457	140	
361  	ои	515750	204	
362  	ой	2431895	52	
363  	ок	1214259	97	
364  	ол	3375143	26	
365  	ом	3209060	29	
366  	он	2942617	35	
367  	оо	222118	300	
368  	оп	922532	130	
369  	ор	3415027	25	
370  	ос	3966047	17	
371  	от	3510602	23	
372  	оу	45965	475	
373  	оф	156020	339	
374  	ох	291336	265	
375  	оц	178877	329	
376  	оч	982203	124	
377  	ош	433712	225	
378  	ощ	144122	345	
379  	оэ	78167	414	
380  	ою	119158	374	
381  	оя	384812	235	
382  	па	961412	126	
383  	пе	1401258	91	
384  	пи	655135	168	
385  	пк	57839	455	
386  	пл	536216	195	
387  	пн	82145	408	
388  	по	5212731	5	
389  	пп	77159	417	
390  	пр	4179260	13	
391  	пс	52071	463	
392  	пт	60657	449	
393  	пу	431907	226	
394  	пц	14382	585	
395  	пч	10646	610	
396  	пш	5025	679	
397  	пы	175479	334	
398  	пь	47775	471	
399  	пя	124971	367	
400  	ра	5048021	9	
401  	рб	69789	428	
402  	рв	257003	280	
403  	рг	261832	278	
404  	рд	158407	337	
405  	ре	3989734	16	
406  	рё	6915	649	
407  	рж	192740	317	
408  	рз	22359	541	
409  	ри	2820329	40	
410  	рк	232599	293	
411  	рл	56161	456	
412  	рм	334205	251	
413  	рн	570726	188	
414  	ро	4714358	12	
415  	рп	66086	437	
416  	рр	63830	443	
417  	рс	314420	259	
418  	рт	484158	213	
419  	ру	1583604	81	
420  	рф	35575	502	
421  	рх	100386	391	
422  	рц	36565	496	
423  	рч	58210	451	
424  	рш	121912	369	
425  	рщ	12644	597	
426  	ры	828626	143	
427  	рь	263595	276	
428  	рэ	7311	646	
429  	рю	68362	433	
430  	ря	524450	199	
431  	са	1003667	121	
432  	сб	50449	466	
433  	св	753802	156	
434  	сг	15211	580	
435  	сд	110058	382	
436  	се	1889506	69	
437  	сё	31728	511	
438  	сж	8816	628	
439  	сз	5364	672	
440  	си	1150205	101	
441  	ск	2586828	49	
442  	сл	1503147	83	
443  	см	423200	227	
444  	сн	615677	177	
445  	со	1915082	66	
446  	сп	1080027	109	
447  	ср	254518	282	
448  	сс	791981	150	
449  	ст	7173707	1	
450  	су	602809	181	
451  	сф	40147	489	
452  	сх	113061	381	
453  	сц	45985	474	
454  	сч	183420	325	
455  	сш	68736	432	
456  	съ	20327	551	
457  	сы	213995	305	
458  	сь	1228030	96	
459  	сэ	6014	664	
460  	сю	67967	434	
461  	ся	2001670	64	
462  	та	3636025	22	
463  	тб	26075	528	
464  	тв	1717885	77	
465  	тг	7467	645	
466  	тд	88584	402	
467  	те	3288502	28	
468  	тё	8114	640	
469  	тз	5303	674	
470  	ти	2688091	46	
471  	тк	401567	232	
472  	тл	131399	357	
473  	тм	58190	452	
474  	тн	821490	146	
475  	то	6718190	2	
476  	тп	45948	476	
477  	тр	2017218	63	
478  	тс	1042223	116	
479  	тт	45108	479	
480  	ту	880925	135	
481  	тф	7750	643	
482  	тх	10171	614	
483  	тц	29942	518	
484  	тч	65243	440	
485  	тш	4342	695	
486  	тщ	8441	633	
487  	тъ	5705	667	
488  	ты	856496	139	
489  	ть	3036424	33	
490  	тэ	4833	683	
491  	тю	40832	485	
492  	тя	303112	261	
493  	уа	95653	394	
494  	уб	376142	240	
495  	ув	264145	275	
496  	уг	517220	202	
497  	уд	1008986	119	
498  	уе	185154	323	
499  	уж	700853	163	
500  	уз	196422	316	
501  	уи	16185	576	
502  	уй	50823	465	
503  	ук	458893	220	
504  	ул	663580	166	
505  	ум	494487	210	
506  	ун	239837	289	
507  	уо	5421	670	
508  	уп	452891	221	
509  	ур	569071	189	
510  	ус	796350	149	
511  	ут	825669	145	
512  	уф	13507	590	
